id	alt_title	archived	co_op	collection_id	controller_support	date_added	date_modified	description	developer	esrb	favorite	filename	genre_id	gpu	hdd	last_played	mod	notes	online_multiplayer	operating_system	platform_id	play_count	players	processor	publisher	ram	region	save_path	steam_id	store	tags	title	translation	year
502		0	0		1	2022-09-15 01:14:00.285609	2022-09-15 01:14:50.211968	Civilization has fallen into a deep decline.  Gangs and warlords are gaining power and influence all over the world.  Then out of nowhere, a powerful being known as the Gaurdian appears with a challenge.  Unless a warrior meets his challenge, he will destroy the Earth.  So, 7 warriors from around the world fight to re-open the Ultra Vortek and restore the Earth.Ultra Vortek is a one-on-one fighting game similar to Mortal Kombat.  Some of the fighters are digitzed actors, other are stop motion or computer animated.  You have at your control an array of punches and kicks, and a large number of special moves.  The game also features several	Beyond Games	M	0	ultra-vortek.jag	7						0		16		2		Atari		NA				2D Scrolling	Ultra Vortek	0	1995
503		0	0		1	2022-09-15 01:58:34.086131	2022-09-15 01:59:30.141164	Missile Command 3D is an update to the classic Atari arcade game. The goal in Missile Command is to defend your cities against an onslaught of missiles coming from the sky. Your arsenal consists of three anti-missile flak cannons. You have to position the anti-missile clouds in the path of the incoming missiles to stop them from impacting.This Jaguar game has 3 modes. First, there is a port of the original arcade game. There are neat extras for this mode like graphic backdrops and the ability to resize or scale the screen. The second mode is Missile Command 3D. This mode retains the gameplay of the original, but adds 3D graphics to the mix. The final mode, Virtual Missile Command, changes things up quite a lot. Instead of anti-missile flak, your cannons shoot lasers. This means you don't need to lead your targets anymore. You play the game from a first-person perspective, and must switch between the three cannons via buttons on the keypad. There are nine levels in this mode, each with a boss at the end.	Virtuality Entertainment		0	missle-command-3d.jag	1						0		16		1		Atari		NA				Shooter	Missile Command 3d	0	1995
505		0	0		1	2022-09-15 02:14:53.851271	2022-09-15 02:16:45.923425	3DO's Army Men franchise hits a higher level again with Army Men: Air Combat! As Captain William Blade, the toy pilot of several plastic toy helicopters, you are battling with the evil tan army and their terrifying war machines. Real-world settings include backyard, playgrounds, campgrounds and giant sandcastles, spread out over 16 single player missions and competitive multiplayer modes. For your battles, four types of helicopters are available (Chinook, Apache, Huey and Super Stallion) to fight enemies like toy robots, electric trains, killer bees and dragonflies. In addition, interactions with your environment are also possible; pick up dog dishes, soda cans, doughnuts or bags of fertilizer for use against the evil tan toys and wipe them out!	3DO	T	0	army-men-air-combat.z64	1						0		21		1		3DO		NA				Strategy	Army Men : Air Combat	0	2000
506		0	0		1	2022-09-15 02:19:24.578671	2022-09-15 02:20:40.557536	Mission based tank shooter game set in the post-apocalyptic future; fight through single-player campaign levels based in U.S. cities against multitudes of gangs with their own tanks and heavy firepower.The game has a large multiplayer component, allowing up to 4 players at once, with or without teams, AI opponents, and in several gameplay styles, including a standard deathmatch and a capture-the-flag style game.	3DO	T	0	battletanx.n64	1						0		21		4		3DO		NA				Shooter	BattleTanx	0	1998
507		0	0		1	2022-09-15 02:21:20.542198	2022-09-15 02:22:11.979233	The year is 2006. The world has become a post-apocalyptic wasteland. While Griffin and Madison struggle to rebuild society, they realize their young son possesses telekinetic powers that are the key to the future. But the evil QueenLord, Cassandra, plans to use the boy's powers for her own wicked scheme. With only armored tanks at your command, you must defeat the QueenLord and the sinister gangs under her control. Combat will lead you to foreign soil, where it's all-out global warfare!	Panasonic	T	0	battletanx-global-assault.n64	1						0		21		4		3DO		NA				Shooter	BattleTanx : Global Assault	0	2000
508		0	0	45	1	2022-09-15 02:25:08.428419	2022-10-22 15:13:01.876627	The evil Altair is using the Omni Cube to drain the energy from Planet Bomber. With the aid of a mysterious helper, you must defeat Altair, and restore peace to Planet Bomber. In the Adventure mode, guide Bomberman through 24 areas of perilous conflict. Battle Altair's sinister allies, destroy their bases and put an end to the insane attack. The multi-player Battle mode offers endless hours of explosive action. Use the standard Bomberman character or create a custom one and save it.	Hudson	E	0	bomberman-64.z64	1						0		21		4		Nintendo		NA				Puzzle, Top-Down	Bomberman 64	0	1997
509		0	0		1	2022-09-15 02:45:49.509191	2022-09-15 02:48:34.183813	It's an island takeover when the evil space wizard, Wizpig, discovers Tiger Island!  After the islands prized racetracks become sealed up, Timber Tiger contacts his friend Diddy Kong to help him reclaim the racetracks and save the island before his parents return.  Along for the ride are the Kremling spy Krunch, Bumper Badger, Banjo (prior to meeting Kazooie in Banjo-Kazooie), pre-sweary Conker, Tiptup Turtle, and Pipsy Mouse.Diddy Kong Racing is a racing game with similarities to Mario Kart 64, in that you race with a variety of cheery racers while using weapons.  However, the similarities end there.  DKR includes an adventure mode, which features bosses, an overworld to explore, many hidden secrets, the addition of hovercrafts and planes, and a unique way of racing called the	Rareware	E	0	diddy-kong-racing.z64	11						0		21		4		Rareware		NA				Vehicular Combat	Diddy Kong Racing	0	1997
510		0	0	59	1	2022-09-15 02:53:06.727629	2022-11-09 21:57:58.361249	A fighting game to end all fighting games.  A sequel to Soul Blade, Soul Calibur takes place in a time inspired by a mixture of 16th-century ancient China and oriental medieval fantasies and legends.  All characters have weapons and distinct fighting styles with over 100 individual moves per character.  In addition to high, mid, and low attacks, characters can hold/throw, block, and perform special attacks -- one or more of which is deemed	Namco	T	0	soulcalibur.chd	7						0		8		2		Namco		NA					SoulCalibur	0	1999
511		0	0	84	1	2022-09-15 03:09:43.988091	2024-02-01 21:57:00.540337	Use your wits and your razor sharp sword to recapture the Golden Axe from the diabolical Death Adder. Defeat skeletons and giant bats in dark, deep chasms and caves. And summon Earth, Thunder and Fire Magic to fight gargoyles that come to life before your eyes!	Aspect	E	0	ax-battler-legend-of-golden-axe.gg	3						0		15		1		SEGA		NA				Fantasy	Ax Battler: A Legend of Golden Axe	0	1992
512		0	0		1	2022-09-15 03:25:32.516454	2022-10-31 03:50:16.567202	"Chakan* is a fairly standard platform game in which you control a dead guy (Chakan has lost his soul) through many levels of hack and slash platforming. The ultimate goal is defeat all the bad-guys and so finally achieve inner-peace.

*Ultimate Chakan Patch applied"	SEGA		0	chakan.gen	1						0		14		1		SEGA		NA				2D Scrolling, Platformer	Chakan	0	1992
513		0	0		1	2022-09-15 03:33:23.972480	2024-02-01 21:57:05.905316	The continent of Tyramus has lived in peace for almost a century, thanks to the four elemental crystals of the kingdom of Arliel. However, peace is threatened by the invading armies of the Jyn Empire, led by Emperor Grym, who wants to use the four crystals to rule over Tyramus. Fortunately, Princess Iris can escape with one of the crystals and now the player has to protect her and the crystal and somehow find a way to drive back the hordes of Jyn.	SEGA	E10	0	crystal-warriors.gg	12						0		15		1		SEGA		NA				Strategy	Crystal Warriors	0	1992
514		0	0		1	2022-09-15 03:44:01.694398	2024-02-07 19:25:34.677754	Master of Darkness is a Platformer very similar to Castlevania.You play as a psychologist trying to defeat Dracula. This requires you to fight your way through several spooky locations such as cemeteries, laboratories, castles or a house of wax dolls.	Sims	E10	0	master-of-darkness.sms	1						0		33		1		SEGA		EU				2D Scrolling	Master of Darkness	0	1993
515		0	0	82	1	2022-09-15 03:54:13.035534	2024-02-01 21:57:22.001993	"The Dragon Ninja village has been massacred! The powerful Dragonsword has been stolen! You are Ryu Hayabusa, last of the Dragon Ninja, and you must find the Dragonsword before it can be used to unleash evil across the Earth!

Ninja Gaiden is based on the series of the same name originally produced by Tecmo, this is an original creation by a different developer. Despite the ""reprogrammed by Sega"" line on the title screen, this game is not directly based on any previous Ninja Gaiden title."	SEGA	E	0	ninja-gaiden.gg	1						0		15		1		SEGA		NA				2D Scrolling, Hack & Slash	Ninja Gaiden (1991)	0	1991
516		0	0		1	2022-09-15 03:56:01.521659	2022-09-15 04:00:52.369918	The basic Outrun game structure is reused in this, with the main difference being that a futuristic setting has been used. The circuits have some spectacular inclines, and the cars do nearly 700km/h. There are four different track sequences on offer, and your aim is to complete each section of track within the time limit. As in the original OutRun game, near the end of each stage there are forks in the road, allowing you to choose different routes within the track sequences. There are other cars on the road to avoid as well.	Sims		0	outrun-2019.gen	11						0		14		1		SEGA		NA					OutRun 2019	0	1993
517		0	0		1	2022-09-15 04:04:33.905922	2022-09-15 04:09:58.437034	The Sno-Bees are back! One day in Antarctica, an asteroid crashes into the crystal that protects the penguins, shattering it into many pieces and freeing the Sno-Bees who had been frozen in ice. In order to rescue his people, the blue penguin (along with a pink penguin in two-player mode) goes after the Sno-Bees and to recover the missing pieces of the crystal. The game takes the basic template of the 1982 original and expands on it, offering a greater variety of enemies, various environmental hazards, and power-ups, along with of course updated 16-bit graphics and sound. The goal is still to push blocks and crush enemies. Enemies now appear from generators, which must be destroyed to stop new enemies from appearing, and all enemies must then be eliminated to complete each stage.	JSH Co.		0	pepenga-pengo.gen	1						0		14		2		SEGA		JP				Puzzle	Pepenga Pengo	0	1995
518		0	0	34	1	2022-09-15 04:12:30.263338	2022-09-16 12:53:00.767353	The inhabitants of South Island are in danger! Dr. Robotnik has stolen all the Chaos Emeralds which kept the power balance. Robotnik has thrown the Emeralds in a parallel universe and is keeping the red one. Sonic and Tails must retreive all the Chaos Emeralds before the destruction of South Island.	Aspect Co.		0	sonic-chaos.sms	1						0		33		1		SEGA		NA				Platformer	Sonic Chaos	0	1993
519		0	0	2	1	2022-09-15 04:34:59.103597	2024-01-29 21:58:38.150052	"Batman Returns on the SEGA CD is an enhanced version of the Genesis adaptation of the movie. It includes the entirety of the original platform game, but adds all-new driving levels.

The game can be played in three ways: either as only the platform game, only the racing game, or a combination of both. Each option features a unique ending sequence.

For every of the original version's five platform levels, there is a related driving section in which the player controls either the Batmobile or the Batskiboat. Both in perspective and gameplay, these sections are reminiscent of arcade titles like OutRun. Seen from above and behind, the player's vehicle must reach checkpoints before a timer runs out, receiving bonus points for any surplus seconds. The CD system's hardware is used for sprite scaling and other tricks, achieving a 3D effect."	Malibu Interactive	E10	0	batman-returns.chd	1						0		31		1		SEGA		NA				None	Batman Returns (1992)	0	1993
520		0	0		1	2022-09-15 04:48:01.546391	2022-09-16 12:52:09.488790	Like the prequel the game follows the same pattern except with what happens next. The following is an exact duplication of the storyline viewed in the	Deep Water	M	0	eternal-champions-challenge-from-the-dark-side.chd	7						0		31		2		SEGA		NA					Eternal Champions: Challenge from the Dark Side	0	1995
521		0	0		1	2022-09-15 05:03:09.992552	2022-09-15 05:05:46.210713	From various time periods of past, present and future, nine fighters killed in an unjust manner find themselves given a second chance for life. An alien being, known only as the Eternal Champion, brings back the fighters into a competition for one reason: to find one among them worthy of being resurrected, giving them a chance to avert their death and tip the balance between good and evil.	SEGA	T	0	eternal-champions.gen	7						0		14		2		SEGA		NA				2D Scrolling	Eternal Champions	0	1994
522		0	1	104	1	2022-09-15 05:11:11.043117	2024-01-28 21:17:48.389402	Final Fight CD is the Sega CD version of the 1989 arcade beat'em up, Final Fight; released by Capcom in 1993. Final Fight CD includes everything that was in the original arcade version, the game also adds a brand new arrange soundtrack - taking advantage of the Sega CD hardware - and adds voice acting in the beginning and end cut-scene.	Capcom	T	0	final-fight-cd.chd	1						0		31		2		SEGA		NA				Brawler, 2D Scrolling	Final Fight CD	0	1993
523	Road Blaster	0	0		1	2022-09-15 05:29:11.585337	2024-02-04 22:16:18.425542	Road Avenger is an interactive action movie game, telling the story of an ex-cop avenging the murder of his wife with his highly modified car.	Wolf Team	E10	0	road-avenger.chd	1						0		31		1		SEGA		NA				QTE	Road Avenger	0	1993
524		0	0	41	1	2022-09-15 14:33:24.094861	2024-02-07 19:26:11.278693	"The time: Space Century 3240. The place: The Algol Star System. It began when King Lassic turned evil and let hordes of hideous, magical creatures run amok on the three planets. When her brother was killed, Alis vowed to avenge his death and put an end to Lassic forever.

Join her in a journey across time and space to worlds where creatures speak...where magic and science combine to take you on the ultimate video quest."	SEGA	E10	0	phantasy-star.sms	12						0		33		1		SEGA		NA				None	Phantasy Star	0	1988
525		0	0	41	1	2022-09-15 14:39:10.696448	2022-09-15 15:47:23.351764	A long time ago, a great war between Orakio and Laya devastated the planet. 1000 years later, a young Orakian prince named Rhys decides to marry the beautiful Maya, his heart's chosen one. But during the marriage ceremony, a strange creature appears and kidnaps the bride. Were those the legendary Layans who kidnapped the princess? Whatever the answer might be, Rhys has to find it out on his own. He must find his beloved one...	SEGA		0	phantasy-star-iii-generations-of-doom.gen	12						0		14		1		SEGA		NA					Phantasy Star III : Generations of Doom	0	1991
526		0	0	41	1	2022-09-15 15:53:26.025290	2022-09-15 15:59:01.491728	As bounty hunter Chaz you'll lead a group of adventurers to save your home planet of Motavia and eventually the whole solar system in this acclaimed RPG from Sega. The final game in the Phantasy Star series' canon.	SEGA	E	0	phantasy-star-iv-the-end-of-the-millenium.gen	12						0		14		1		SEGA		NA					Phantasy Star IV: The End of the Millennium	0	1995
527		0	1	41	1	2022-09-15 19:35:17.920122	2022-09-15 19:52:19.155379	Phantasy Star Online: Blue Burst is an expanded version of Phantasy Star Online that offers more content in the form of Episode 4 and also features improved graphics and more items to collect.	Sonic Team	T	0	phantasy-star-online-blue-burst	3	32 MB VRAM	2 GB				1	Windows XP	40		4	700 MHz	SEGA	256 MB	NA				Fantasy, Sci-Fi, Third-Person	Phantasy Star Online: Blue Burst	0	2005
528		0	1	41	1	2022-09-16 02:43:07.096486	2022-11-10 02:07:55.826122	A new substance has been discovered that can clone any item or creature on the planet. Called C.A.R.D. technology, any Hunter can carry a simple deck of cards that represent the various weapons available. This new discovery leads to the colonization of Ragol 2 and the birth of a new faction (calling themselves the Arkz) who oppose the government's actions.	Sonic Team	T	0	phantasy-star-online-episode-iii-card-revolution.rvz	12						1		10		4		SEGA		NA				Strategy, Card Collectible	Phantasy Star Online: Episode III - C.A.R.D. Revolution	0	2004
529		0	0		1	2022-09-16 03:18:52.319624	2022-09-16 03:25:03.224288	The Computer Arms Management System (CAMS) is the basic form of defense for planets against any enemy. But a terrible accident leaves an entire colony dead, and its up to a human to put an end to the out of control system.Enter Vanessa Z. Schneider, a freelance mercenary, who has been charged with the task of bringing CAMS under control. But she has another mission in hand: revenge for CAMS destruction of her family.Control Vanessa through the various landscapes in a 3rd person perspective, using her upgradeable abilities to destroy the CAMS, while dodging fire with a range of acrobatic moves.	Capcom	T	0	pn-03.rvz	1						0		10		1		Capcom		NA				Shooter, Third-Person	P.N.03 - Product Number 03	0	2003
530		1	0	42	1	2022-09-17 17:11:29.662952	2024-04-09 01:52:09.752858	"As an aspiring pro skater, you're invited to join Tony Hawk in an around-the-world underground skating competition known as the ""World Destruction Tour."" It's Team Hawk against Team Bam in a no-holds-barred contest to gain the most points by performing insane stunts and raising havoc in cities all over the world."	Neversoft Entertainment	T	0	tony-hawks-underground-2	13	32 MB VRAM / DirectX 9.0c compatible	2.5 GB		ClownJob'd		0	Windows XP	40		2	800 MHz	Activision	256 MB	NA				Skateboarding	Tony Hawk's Underground 2	0	2004
531		0	0	42	1	2022-09-17 19:16:23.285502	2022-09-17 19:30:45.054914	THUG Pro is a total conversion mod for the PC version of Tony Hawk's Underground 2. It uses THUG2's engine as a foundation for what will eventually include every level from every Neversoft game in the series and more. Single-player and online multiplayer supported.	THUG Pro Team	T	0	thug-pro	13	32 MB VRAM / DirectX 9.0c compatible	2.5 GB				1	Windows XP	40		1	800 MHz	THUG Pro Team	256 MB	NA				Skateboarding	THUG Pro	0	2015
532		0	0	42	1	2022-09-17 23:17:39.019509	2022-09-17 23:25:57.622559	Tony Hawk's Pro Skater is a skateboarding simulation in which you control a famous skate star around 3D environments. Each game area contains a plethora of objects like ramps, rails, and half-pipes which can be used to perform tricks. Each trick you perform earns you more points for your score.	Treyarch	T	0	tony-hawks-pro-skater.chd	13						0		8		2		Crave Entertainment		NA				Skateboarding	Tony Hawk's Pro Skater	0	2000
533		0	0	42	1	2022-09-17 23:26:36.643286	2022-09-17 23:30:06.381517	The sequel to the award winning PSX and N64 title, Tony Hawk 2 adds heaps of new tricks, as well as those from the original, and a complete roster of all the greatest skaters worldwide. Fly through some of the greatest skate parks in the world, or create your own, and share them with your mates. You can also create your own skater, with a choice of clothing and official skateboards. Improved graphics and a choice of alternative or hip-hop music add to the endless options and full on action.	Neversoft Entertainment	T	0	tony-hawks-pro-skater-2.chd	13						0		8		2		Activision		NA				Skateboarding	Tony Hawk's Pro Skater 2	0	2000
534		0	0	42	1	2022-09-18 00:22:38.482988	2024-05-28 22:24:40.017642	"Tony Hawk returns with an all new line-up of skaters, an all new line-up of parks to crash through, and a whole new level of graphics.

The line-up of street and vert riders include Elissa Steamer, Jamie Thomas, Steve Caballero, Rune Glifberg, Geoff Rowley, Andrew Reynolds, Rodney Mullen, Eric Koston, Chad Muska, Bucky Lasek and Bam Margera from MTV's Jackass (and Tony Hawk, of course)."	Neversoft	T	0	tony-hawks-pro-skater-3.rvz	13						0		10		2		Activision		NA				Skateboarding	Tony Hawk's Pro Skater 3	0	2001
535		0	0	42	1	2022-09-18 00:28:18.829090	2022-11-10 01:15:06.563990	Tony Hawk's Pro Skater 4 is the fourth game in Activision's skateboarding franchise with a redesigned career mode.	Neversoft	T	0	tony-hawks-pro-skater-4.rvz	13						0		10		2		Activision		NA				Skateboarding	Tony Hawk's Pro Skater 4	0	2002
536		0	0	23	1	2022-09-18 02:48:18.638200	2022-09-18 02:58:48.736853	Step into a world of discovery, exploration and adventure in The Legend of Zelda: Breath of the Wild, a boundary-breaking new game in the acclaimed series. Travel across fields, through forests and to mountain peaks as you discover what has become of the ruined kingdom of Hyrule in this stunning open-air adventure.	Nintendo	E10	0	legend-of-zelda-breath-of-the-wild	3						0		39		1		Nintendo		NA				Fantasy, Third-Person	Legend of Zelda: Breath of the Wild, The	0	2017
537		0	0	43	1	2022-09-18 14:04:07.295544	2023-12-08 02:07:09.802299	Need For Speed: Underground is the seventh game in the long running Need For Speed racing series. Underground revolves around illegal nighttime streetracing with heavily modified import cars and has been greatly influenced by the movie	Electronic Arts	E	0	need-for-speed-underground.gcz	11						0		26		2		Electronic Arts		NA					Need for Speed - Underground	0	2003
538		0	0	43	1	2022-09-18 14:23:43.753626	2024-01-24 12:16:28.247326	"This installment in the Need for Speed series, Underground 2 is a racing game based on illicit, night time races, with the player gaining street credit, cash and access to unique tuner parts by schooling the competition.

Taking place in a massive, open city, NFS Underground 2 allows players to explore the city at will, engaging random challengers and moving into the coveted Underground Racing League. Once in the Underground Racing League, the player advances first by race wins, then with building up their tuner car and taking on tougher opponents. The objective is to win all Underground Racing League engagements and trick out your car to the max."	Electronic Arts	E	0	need-for-speed-underground-2.rvz	11						0		10		2		Electronic Arts		NA				None	Need for Speed: Underground 2	0	2004
539		0	0	43	1	2022-09-18 15:04:51.250785	2024-01-24 12:15:56.074550	The new speedster in EA's successful series combines the tuner customization of Need for Speed Underground with an expanded take on the police chases of the Need for Speed: Hot Pursuit series. The game will feature a Rap Sheet option that works hand in hand with a player's street reputation as they move up from the	Electronic Arts	T	0	need-for-speed-most-wanted.rvz	11						0		10		2		Electronic Arts		NA				None	Need for Speed : Most Wanted	0	2005
540		0	0		1	2022-09-19 01:31:38.451942	2024-02-05 22:43:12.122710	"Snatcher is set in the futuristic Neo Kobe City, a city of madness and decadence. The year is 2047 (or 2042, according to the original Japanese version). Mankind is facing its gravest crisis. A mysterious bio-roid life form has appeared. Its true nature and purpose are unknown. Is it some country's secret weapon, or an alien from another world? They appear in the winter, killing people and taking their place in society. They wear artificial skin and can sweat and even bleed. They are called ""Snatchers"" because they ""snatch"" their victims before they take their place.

A new police force, specifically trained to fight the Snatchers, has been formed. They are JUNKERs (which is deciphered as ""Japanese Undercover Neuro-Kinetic Elimination Rangers"" in the English version). Every time you encounter someone, a difficult question must be asked — is it a person or a snatcher? "	Konami	T	0	snatcher.chd	4						0		31		1		Konami		NA				Sci-Fi	Snatcher	0	1994
541		1	0		1	2022-10-02 18:14:16.176141	2023-10-12 19:47:52.006311	Heavy Metal: F.A.K.K. 2 is a third-person shooter video game made by Ritual Entertainment in 2000. The sequel to the Heavy Metal 2000 animated film, the game stars Julie in her quest to save her home planet of Eden from GITH, an ancient entity seeking to conquer the universe. Using a variety of weapons, Julie must fight off GITH's forces while at the same time uncovering a secret hidden deep within the planet.	GOD Games	M	0	heavy-metal-fakk-2	1	DirectX 7.0 compatible	500 MB				0	Windows 95	40		1	300 MHz	Ritual Entertainment	64 MB	NA				Third-Person	Heavy Metal: F.A.K.K. 2	0	2000
542		0	0		1	2022-10-05 14:30:04.106629	2022-11-10 17:33:14.407165	A 3D arcade arena fighter by Capcom, based on the Heavy Metal comics.	Capcom	M	0	heavy-metal-geomatrix.chd	7						0		8		2		Bigben Interactive		NA					Heavy Metal: Geomatrix	0	2002
543		0	0		1	2022-10-06 23:14:54.021002	2022-10-06 23:19:01.303346	Play as Polterguy as he goes about haunting the arrogant, selfish family that was responsible for his death by car accident, by possessing the objects in their home.	Electronic Arts	T	0	haunting-starring-polterguy.gen	1						0		14		1		Electronic Arts		NA				Horror	Haunting: Starring Polterguy	0	1993
544		0	0		1	2022-10-19 13:27:13.231680	2022-10-19 13:53:55.977802	The small nation of Istar has been plunged into civil war and you have been pulled into the fight.  Lead your mercenary group to victory in this mech-based strategy game.	Sacnoth		0	faselei.ngp	14						1		25		1		SNK		NA				Sci-Fi, Turn-Based	Faselei!	0	2000
545		0	0		1	2022-10-19 22:44:05.730675	2022-10-19 22:51:16.946631	A tactical turn-based strategy game with battles on a grid-based map. Once two units meet in battle, the combat system follows the familiar turn-based structure.	Squaresoft		0	bahamut-lagoon.smc	12						0		34		1		Squaresoft		JP				Strategy	Bahamut Lagoon	1	1996
546		0	1		1	2022-10-19 23:26:40.296237	2022-10-19 23:36:10.213367	Radiant Silvergun is a vertical scrolling shooter with several weapons and a color-based chain system.	Treasure		0	radiant-silvergun.chd	1						0		30		2		ESP Software		JP				Shooter, Top-Down	Radiant Silvergun	0	1998
547		0	0		1	2022-10-19 23:39:57.537033	2023-07-01 13:09:22.688352	Play as one of the eight kingdoms of Legendra as they try to expand their territory and stop the rise of the evil Madruk. Players control the many generals of their kingdom both on a strategic world map and in real time battles.	J-Force	E10	0	dragon-force.chd	14						0		30		1		SEGA		NA				Role-Playing	Dragon Force	0	1996
548		0	0		1	2022-10-20 00:48:38.567040	2022-10-20 00:52:19.163727	A fantasy RPG by Enix for the SNES with an emphasis on Legend of Zelda-style dungeon puzzles.	Produce		0	brain-lord.smc	3						0		34		1		Enix Corporation		NA					Brain Lord	0	1994
549		0	0		1	2022-10-20 00:56:00.125850	2022-10-20 01:01:18.919846	An action RPG that lets the player build and upgrade robots to do battle against foes! Oh, and there's an Einstein lookalike.	Quintet		0	robotrek.smc	3						0		34		1		Enix Corporation		NA					Robotrek	0	1994
550		0	0		1	2022-10-21 20:15:28.116192	2022-10-21 20:23:24.610578	An action brawler game for the PC Engine that homages tokusatsu TV shows such as Super Sentai or Kamen Rider.	FACE		0	cyber-cross.pce	1						0		36		1		ITL Co.		JP				Brawler	Cyber Cross	0	1989
551		0	0	22	1	2022-10-21 20:25:20.225883	2022-10-21 20:39:39.904644	"Part of the ""Dracula X"" storyline, Rondo of Blood is a Japanese-exclusive entry in the Castlevania series of horror platformers that takes place a century after the original Castlevania."	Konami		0	castlevania-rondo-of-blood.chd	1						0		36		1		Konami		JP				Metroidvania	Castlevania: Rondo of Blood	0	1993
552		0	0		1	2022-10-21 23:26:48.725905	2023-02-01 18:54:39.283667	Your knight in shining armor has just slain your captor, but has now succumb to his injuries. Now you must take up arms and escape the castle yourself!	Gainax		0	goetzendiener.chd	1						0		36		1		NEC Home Electronics		JP					Götzendiener	0	1994
553		0	0	45	1	2022-10-22 02:00:45.619827	2022-10-22 02:09:54.953597	"The PC Engine's answer to Columns and Puyo Puyo, Panic Bomber is a ""falling blocks"" puzzle game and spin-off of the studio's Bomberman series."	Hudson Entertainment Inc		0	bomberman-panic-bomber.chd	9						0		36		2		Hudson Entertainment Inc		JP					Bomberman: Panic Bomber	0	1994
554		0	0		1	2022-10-22 16:58:04.260777	2022-10-22 19:12:38.974744	A 2D scrolling shoot 'em up exclusive to the TurboGrafx-CD, and the precursor to Lords of Thunder. Space cops Hawk and Esty team up to fight the villainous Don Jingi.	Hudson Entertainment		0	gate-of-thunder.chd	1						0		36		1		Hudson Entertainment		JP				Shooter	Gate of Thunder	0	1992
555		0	0	4	1	2022-10-22 19:43:19.160468	2022-10-22 19:53:46.164134	"The Vampire has escaped and has arisen again just as the Ancient Ones predicted. The Vampire controls bands of monsters who do his destructive bidding. Using the evil Iron Ring, he bends the will of the common people in an attempt to take over the world. Even the great Radlebb Keep has been conquered by the Dark Once and been bent to his evil will.
Now, with your character in the Order of the Griffon, we have a chance to defeat the evil Vampire! World peace can be restored!"	Strategic Simulations	E	0	dungeons-and-dragons-order-of-the-griffon.pce	12						0		36		1		Turbo Technologies		NA					Dungeons & Dragons: Order of the Griffon	0	1992
556		0	0		1	2022-10-22 20:19:01.598748	2022-10-23 17:52:29.071731	"Join the four girls pilots part of a futuristic police unit called the Burning Rabbits. Their duty is to go after bandits, to explore the far corners of the universe and to even venture back in time, whatever the risks, to prosecute the worst criminals. Because humanity is now advanced enough to travel through time, this special police force was created to protect society from these new ""time criminals"". You have four spaceships, to choose from. Each one balances out the next and usually trades off fire power for maneuverability and speed."	CAProductions		0	ginga-fukei-densetsu-sapphire.chd	1						0		36		1		Hudson Entertainment Inc		JP				Shooter, Top-Down	Ginga Fukei Densetsu: Sapphire	0	1995
557		0	0		1	2022-10-22 20:32:06.854344	2023-02-20 03:50:56.900413	Evil forces have kidnapped the leader of the Burning Project! It's up to the Burning Angels to rescue her! And so starts another vertically scrolling shooter on the PC Engine. There are no surprises in the gameplay here - choose one of two ships, shoot down enemies and collect power upgrades and energy pods. Levels range from the city to the desert and the obligatory sci-fi enemy base. At the end of each level, defeat the large boss craft to move on.	NAXAT Soft		0	burning-angels.pce	1						0		36		1		NAXAT Soft		JP				Shooter, Top-Down	Burning Angels	0	1990
558		0	0		1	2022-10-22 20:44:25.115556	2022-10-22 21:01:02.029779	"After years of pollution and the depletion of natural resources on Earth, humans decided to search beyond the solar system for habitable planets to live on. A space program dedicated to this premise eventually found a solar system similar to the Earthling's and the space colonists selected a habitable planet they named Darius.

After settling on Darius, the inhabitants learned to start a new life and thrive in both society and technology. However, their peace was disturbed by an armada of malevolent maritime shaped space craft controlled by the Belser Army, a race of humanoid space colony based warrior people who have selected the Darius colonists as their next combatants. The Darius inhabitants' only line of defense were the Silver Hawk series: single-piloted fighter craft designed for long space travel with the ability to wield different weapons at the same time. Two of the fleet's top pilots were selected to defend Darius: Proco and Tiat. Together, the two assigned in thwarting Belser's attack on Darius."	Taito Corporation		0	super-darius.chd	1						0		36		1		NEC Avenue		JP				2D Scrolling, Shooter	Super Darius	0	1990
559		0	0		1	2022-10-22 21:06:17.700355	2022-10-22 21:11:59.409135	The colonized planet Darius is recuperating from its invasion from the alien Belser Army thanks to that game's heroes Proco and Tiat. Darius' inhabitants have since situated themselves on the planet Olga while Darius' societies, architecture and attacked areas were being repaired. The space flight Headquarters established on Olga picks up an SOS signal coming from Earth, where the first colonists originated before colonizing Darius. The signal included the description of alien ships similar to those of the Belser Army. Suspecting that these might be their remaining Earthling ancestors, the people of Darius sends both Proco Jr. and Tiat Young to help them.	Taito Corporation		0	super-darius-ii.chd	1						0		36		1		NEC Home Electronics		JP				2D Scrolling, Shooter	Super Darius II	0	1993
560		0	0	46	1	2022-10-22 22:14:49.776402	2022-10-22 22:38:52.545069	In the South Pacific, Master Higgins lives peacefully wearing only a grass skirt and a cap. That is until the Evil Witch Doctor decides to capture Tina and hold her as his own. It's up to Master Higgins to gather throwing axes, fireballs and skateboards in order to aid his noble quest.	Hudson Entertainment		0	adventure-island.nes	1						0		24		1		Hudson Entertainment		NA				2D Scrolling, Platformer	Adventure Island	0	1987
